place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ0YF1W6ZeFEcRkE4ei6i4hN8,Cafe Republika,,False,615,"Name: caffe italia
link: https://www.google.com/maps/search/caff%C3%A9+italia/@49.2173321,18.741274699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 518 reviews

Name: PostCafe
link: https://www.google.com/maps/search/PostCafe/@49.213583799999995,18.7564177?authuser=0&hl=zh-TW&entry=ttu
Reviews: 381 reviews

Name: Cafe Passage
link: https://www.google.com/maps/search/Caf%C3%A9+Passage/@49.224006599999996,18.7401046?authuser=0&hl=zh-TW&entry=ttu
Reviews: 233 reviews

Name: Street Cafe
link: https://www.google.com/maps/search/Street+Cafe/@49.2229395,18.7342287?authuser=0&hl=zh-TW&entry=ttu
Reviews: 116 reviews

Name: Mon Cafe
link: https://www.google.com/maps/search/Mon+Caf%C3%A9/@49.2239113,18.739273?authuser=0&hl=zh-TW&entry=ttu
Reviews: 89 reviews",http://caferepublika.sk/,Cafe Republika (Ye Zhu ),https://www.google.com/maps/contrib/111048526030589029309,https://lh5.googleusercontent.com/p/AF1QipMK9SG-z5fYYlYJTYBtGmq-wQOKZpdrRfYrXiPA=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,07:30-22:00,Open All Days,+421 950 371 773,"Cafe Republika, Jozefa Vuruma c. 6, 010 01 Zilina, Si Luo Fa Ke ","Dan Gao , atmosphere, Gang Qin , Huan Jing , Qia Bu Qi Nuo ",https://www.google.com/maps/place/Caf%C3%A9+Republika/data=!4m7!3m6!1s0x47145ea65b7581d1:0xdf84b8a88b1e4e90!8m2!3d49.2224529!4d18.7381697!16s%2Fg%2F11g9r26_hy!19sChIJ0YF1W6ZeFEcRkE4ei6i4hN8?authuser=0&hl=zh-TW&rclk=1
ChIJF2HmKrdZFEcRNhNDkk9wBO4,PostCafe,,False,382,"Name: caffe italia
link: https://www.google.com/maps/search/caff%C3%A9+italia/@49.2173321,18.741274699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 518 reviews

Name: Cafe Passage
link: https://www.google.com/maps/search/Caf%C3%A9+Passage/@49.224006599999996,18.7401046?authuser=0&hl=zh-TW&entry=ttu
Reviews: 233 reviews

Name: NAPOLCESTE
link: https://www.google.com/maps/search/NAPOLCESTE/@49.212282599999995,18.762871?authuser=0&hl=zh-TW&entry=ttu
Reviews: 213 reviews

Name: Park Cafe Zilina
link: https://www.google.com/maps/search/Park+Cafe+%C5%BDilina/@49.2258303,18.742558199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: Mon Cafe
link: https://www.google.com/maps/search/Mon+Caf%C3%A9/@49.2239113,18.739273?authuser=0&hl=zh-TW&entry=ttu
Reviews: 89 reviews",http://postcafe.sk/,PostCafe (Ye Zhu ),https://www.google.com/maps/contrib/114218373128756877922,https://lh5.googleusercontent.com/p/AF1QipOw07joD9F5IlCDKjKamg7cG5huDctkOKY5q_FX=w408-h272-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,08:00-20:00,Open All Days,+421 911 366 116,"PostCafe, Postova 1, 010 08 Zilina-Vlcince, Si Luo Fa Ke ",,https://www.google.com/maps/place/PostCafe/data=!4m7!3m6!1s0x471459b72ae66117:0xee04704f92431336!8m2!3d49.2135838!4d18.7564177!16s%2Fg%2F11fl8x_8zs!19sChIJF2HmKrdZFEcRNhNDkk9wBO4?authuser=0&hl=zh-TW&rclk=1
ChIJDRDZUA1fFEcR6o79692sCH0,EPIKA - chute co pisu,,False,376,"Name: Cafe Republika
link: https://www.google.com/maps/search/Caf%C3%A9+Republika/@49.2224529,18.7381697?authuser=0&hl=zh-TW&entry=ttu
Reviews: 615 reviews

Name: PostCafe
link: https://www.google.com/maps/search/PostCafe/@49.213583799999995,18.7564177?authuser=0&hl=zh-TW&entry=ttu
Reviews: 381 reviews

Name: Cafe Passage
link: https://www.google.com/maps/search/Caf%C3%A9+Passage/@49.224006599999996,18.7401046?authuser=0&hl=zh-TW&entry=ttu
Reviews: 233 reviews

Name: Cafe Kupe
link: https://www.google.com/maps/search/Caf%C3%A9+Kup%C3%A9/@49.223774399999996,18.740765?authuser=0&hl=zh-TW&entry=ttu
Reviews: 129 reviews

Name: Park Cafe Zilina
link: https://www.google.com/maps/search/Park+Cafe+%C5%BDilina/@49.2258303,18.742558199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews",http://www.epika.sk/,EPIKA - chute co pisu (Ye Zhu ),https://www.google.com/maps/contrib/113199280181613892279,https://lh5.googleusercontent.com/p/AF1QipO0OOItgXPDxmZXhwm-6_e_G_va0iStEL9alE6R=w408-h574-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,08:00-20:30,Xing Qi Yi ,+421 917 939 317,"EPIKA - chute co pisu, Sad na Studnickach 8964/2A, 010 01 Zilina, Si Luo Fa Ke ","Gong Yuan , Dan Gao ",https://www.google.com/maps/place/EPIKA+-+chute+%C4%8Do+p%C3%AD%C5%A1u/data=!4m7!3m6!1s0x47145f0d50d9100d:0x7d08acddebfd8eea!8m2!3d49.2220134!4d18.7435629!16s%2Fg%2F11jnd72lwx!19sChIJDRDZUA1fFEcR6o79692sCH0?authuser=0&hl=zh-TW&rclk=1
ChIJq5ZIFK9eFEcR8nYU1xX5uZA,"Verticcio coffee & tea | Zilina | Specializovana predajna kava, caj, cokolada",,False,318,"Name: caffe italia
link: https://www.google.com/maps/search/caff%C3%A9+italia/@49.2173321,18.741274699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 518 reviews

Name: Caffe Trieste
link: https://www.google.com/maps/search/Caff%C3%A9+Trieste/@49.22428,18.73942?authuser=0&hl=zh-TW&entry=ttu
Reviews: 235 reviews

Name: Street Cafe
link: https://www.google.com/maps/search/Street+Cafe/@49.2229395,18.7342287?authuser=0&hl=zh-TW&entry=ttu
Reviews: 116 reviews

Name: Kava Doppio | ZSR
link: https://www.google.com/maps/search/K%C3%A1va+Doppio+%7C+%C5%BDSR/@49.2268233,18.7460433?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Coffeeart
link: https://www.google.com/maps/search/Coffeeart/@49.214191199999995,18.7399736?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://www.verticcio.sk/,"Verticcio coffee & tea | Zilina | Specializovana predajna kava, caj, cokolada (Ye Zhu )",https://www.google.com/maps/contrib/105512862894694380711,https://lh5.googleusercontent.com/p/AF1QipN3zvxGX7bfHfqB_XFxUZ_LDF5FQlJeMbaSKcvw=w408-h272-k-no,Ka Pei Dian ,Ka Pei Dian ,4.8,07:30-18:00,"Xing Qi Liu , Xing Qi Ri ",+421 948 594 047,"Verticcio coffee & tea | Zilina | Specializovana predajna kava, caj, cokolada, Antona Bernolaka 2135, 010 01 Zilina, Si Luo Fa Ke ",,"https://www.google.com/maps/place/Verticcio+coffee+%26+tea+%7C+%C5%BDilina+%7C+%C5%A0pecializovan%C3%A1+predaj%C5%88a+k%C3%A1va,+%C4%8Daj,+%C4%8Dokol%C3%A1da/data=!4m7!3m6!1s0x47145eaf144896ab:0x90b9f915d71476f2!8m2!3d49.2188881!4d18.741073!16s%2Fg%2F11bwnxm_fw!19sChIJq5ZIFK9eFEcR8nYU1xX5uZA?authuser=0&hl=zh-TW&rclk=1"
ChIJ9SV8Qx1cFEcRh2TIH_xAO8c,Cajovna Seishin,,False,272,"Name: Teahouse The good fairies
link: https://www.google.com/maps/search/Teahouse+The+good+fairies/@49.2265352,18.743819?authuser=0&hl=zh-TW&entry=ttu
Reviews: 119 reviews

Name: Centauri - Music * Lounge * Shisha Bar
link: https://www.google.com/maps/search/Centauri+-+Music+%E2%80%A2+Lounge+%E2%80%A2+Shisha+Bar/@49.222795,18.7407258?authuser=0&hl=zh-TW&entry=ttu
Reviews: 114 reviews

Name: Shisha Time
link: https://www.google.com/maps/search/Shisha+Time/@49.226247699999995,18.7423275?authuser=0&hl=zh-TW&entry=ttu
Reviews: 24 reviews

Name: Afra Cajovna Homola Emil Ing.
link: https://www.google.com/maps/search/Afra+%C4%8Cajov%C5%88a+Homola+Emil+Ing./@49.224072799999995,18.745104299999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Seishin
link: https://www.google.com/maps/search/Seishin/@49.2260844,18.741457099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.cajovnaseishin.sk/,Cajovna Seishin (Ye Zhu ),https://www.google.com/maps/contrib/102239743475582264266,https://lh5.googleusercontent.com/p/AF1QipOoPIq6Uoz307TjMBSgU81qv56MmDlygktKrU5X=w408-h544-k-no,Cha Yi Guan ,"Cha Yi Guan , Chuan Tong Cha Guan ",4.8,15:00-22:00,"Xing Qi Yi , Xing Qi Ri ",+421 915 839 919,"Cajovna Seishin, 10, Sad SNP 667, 010 01 Zilina, Si Luo Fa Ke ",Shui Yan ,https://www.google.com/maps/place/%C4%8Cajov%C5%88a+Seishin/data=!4m7!3m6!1s0x47145c1d437c25f5:0xc73b40fc1fc86487!8m2!3d49.2262245!4d18.7423671!16s%2Fg%2F11byn12m4_!19sChIJ9SV8Qx1cFEcRh2TIH_xAO8c?authuser=0&hl=zh-TW&rclk=1
ChIJX45U59FfFEcRqOilVWet8w4,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,251,"Name: Obchod Tchibo s kavovym barom
link: https://www.google.com/maps/search/Obchod+Tchibo+s+k%C3%A1vov%C3%BDm+barom/@49.2196637,18.740246799999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 152 reviews

Name: Street Cafe
link: https://www.google.com/maps/search/Street+Cafe/@49.2229395,18.7342287?authuser=0&hl=zh-TW&entry=ttu
Reviews: 116 reviews

Name: Cafe Dias
link: https://www.google.com/maps/search/Caf%C3%A9+Dias/@49.221496099999996,18.7404693?authuser=0&hl=zh-TW&entry=ttu
Reviews: 105 reviews

Name: Kaffeine
link: https://www.google.com/maps/search/Kaffeine/@49.2195216,18.7404738?authuser=0&hl=zh-TW&entry=ttu
Reviews: 12 reviews

Name: Kava Doppio | Aupark
link: https://www.google.com/maps/search/K%C3%A1va+Doppio+%7C+Aupark/@49.2195216,18.7404738?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://www.starbucksslovakia.sk/,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/111896564750272196454,https://lh5.googleusercontent.com/p/AF1QipNNn25shoY0lpodSTg3laBpYX6feK-bp0tgC-nH=w426-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.4,07:30-21:00,"Xing Qi Yi , Xing Qi Er ",+421 948 907 197,"Starbucks, Velka Okruzna 59A, 010 01 Zilina, Si Luo Fa Ke ",Dan Gao ,https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x47145fd1e7548e5f:0xef3ad6755a5e8a8!8m2!3d49.2195216!4d18.7404738!16s%2Fg%2F11h54gzh2n!19sChIJX45U59FfFEcRqOilVWet8w4?authuser=0&hl=zh-TW&rclk=1
ChIJ_0ipAKdeFEcRk7vXZc5Klq4,Grand Caffe,,False,241,"Name: Cafe Republika
link: https://www.google.com/maps/search/Caf%C3%A9+Republika/@49.2224529,18.7381697?authuser=0&hl=zh-TW&entry=ttu
Reviews: 615 reviews

Name: caffe italia
link: https://www.google.com/maps/search/caff%C3%A9+italia/@49.2173321,18.741274699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 518 reviews

Name: PostCafe
link: https://www.google.com/maps/search/PostCafe/@49.213583799999995,18.7564177?authuser=0&hl=zh-TW&entry=ttu
Reviews: 381 reviews

Name: Grande Restaurant
link: https://www.google.com/maps/search/Grande+Restaurant/@49.225281599999995,18.743623499999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 38 reviews

Name: Caffe Vergnano
link: https://www.google.com/maps/search/Caff%C3%A9+Vergnano/@49.223599799999995,18.7382264?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.grandcaffe.sk/,Grand Caffe (Ye Zhu ),https://www.google.com/maps/contrib/112077670240563625907,https://lh5.googleusercontent.com/p/AF1QipMCfuDFJBCA19RfEzczzcSugJH7P2if2VFA26BC=w408-h272-k-no,Zheng Liu Ka Pei Ba ,"Zheng Liu Ka Pei Ba , Zao Can Can Ting , Can Ting ",4.2,08:00-22:00,Xing Qi Ri ,+421 41/562 23 78,"Grand Caffe, Sladkovicova 1, 010 01 Zilina, Si Luo Fa Ke ","Jia Ge , Wu Can , Pi Jiu ",https://www.google.com/maps/place/Grand+Caffe/data=!4m7!3m6!1s0x47145ea700a948ff:0xae964ace65d7bb93!8m2!3d49.2235997!4d18.7382264!16s%2Fg%2F1td6ld4t!19sChIJ_0ipAKdeFEcRk7vXZc5Klq4?authuser=0&hl=zh-TW&rclk=1
ChIJPZa8pKdeFEcR-zIg-W4D-3k,Caffe Trieste,,False,236,"Name: caffe italia
link: https://www.google.com/maps/search/caff%C3%A9+italia/@49.2173321,18.741274699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 518 reviews

Name: Cafe Passage
link: https://www.google.com/maps/search/Caf%C3%A9+Passage/@49.224006599999996,18.7401046?authuser=0&hl=zh-TW&entry=ttu
Reviews: 233 reviews

Name: Cafe Trdlo
link: https://www.google.com/maps/search/Cafe+Trdlo/@49.2200355,18.7413211?authuser=0&hl=zh-TW&entry=ttu
Reviews: 137 reviews

Name: Street Cafe
link: https://www.google.com/maps/search/Street+Cafe/@49.2229395,18.7342287?authuser=0&hl=zh-TW&entry=ttu
Reviews: 116 reviews

Name: Habesh Coffee kaviaren
link: https://www.google.com/maps/search/Habesh+Coffee+kaviare%C5%88/@49.223838099999995,18.7450351?authuser=0&hl=zh-TW&entry=ttu
Reviews: 113 reviews",http://www.caffetrieste.org/,Caffe Trieste (Ye Zhu ),https://www.google.com/maps/contrib/106090679439099791853,https://lh5.googleusercontent.com/p/AF1QipMY5QYFCilDsFjYN0Ks-ehVTkJfZLXlK9MII493=w408-h612-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.5,07:30-19:30,Open All Days,+421 907 138 992,"Caffe Trieste, Hodzova 209, 010 01 Zilina, Si Luo Fa Ke ",,https://www.google.com/maps/place/Caff%C3%A9+Trieste/data=!4m7!3m6!1s0x47145ea7a4bc963d:0x79fb036ef92032fb!8m2!3d49.22428!4d18.73942!16s%2Fg%2F11cp7gnvh_!19sChIJPZa8pKdeFEcR-zIg-W4D-3k?authuser=0&hl=zh-TW&rclk=1
ChIJvcMTSqZeFEcRmybJscnOj9s,Cafe Passage,,False,233,"Name: Cafe Republika
link: https://www.google.com/maps/search/Caf%C3%A9+Republika/@49.2224529,18.7381697?authuser=0&hl=zh-TW&entry=ttu
Reviews: 615 reviews

Name: Street Cafe
link: https://www.google.com/maps/search/Street+Cafe/@49.2229395,18.7342287?authuser=0&hl=zh-TW&entry=ttu
Reviews: 116 reviews

Name: Habesh Coffee kaviaren
link: https://www.google.com/maps/search/Habesh+Coffee+kaviare%C5%88/@49.223838099999995,18.7450351?authuser=0&hl=zh-TW&entry=ttu
Reviews: 113 reviews

Name: Cafe Dias
link: https://www.google.com/maps/search/Caf%C3%A9+Dias/@49.221496099999996,18.7404693?authuser=0&hl=zh-TW&entry=ttu
Reviews: 105 reviews

Name: Mon Cafe
link: https://www.google.com/maps/search/Mon+Caf%C3%A9/@49.2239113,18.739273?authuser=0&hl=zh-TW&entry=ttu
Reviews: 89 reviews",http://cafepassage.sk/,Cafe Passage (Ye Zhu ),https://www.google.com/maps/contrib/118196715925731919949,https://lh5.googleusercontent.com/p/AF1QipPO6S-1LRgfa3spbCMk_CcL6YbPgbnLDNNbdhTG=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,08:00-22:00,Open All Days,+421 904 446 381,"Cafe Passage, Marianske namestie 29/6, 010 01 Zilina, Si Luo Fa Ke ",,https://www.google.com/maps/place/Caf%C3%A9+Passage/data=!4m7!3m6!1s0x47145ea64a13c3bd:0xdb8fcec9b1c9269b!8m2!3d49.2240066!4d18.7401046!16s%2Fg%2F1vysv884!19sChIJvcMTSqZeFEcRmybJscnOj9s?authuser=0&hl=zh-TW&rclk=1
ChIJzSpFM6ZeFEcRlaXVCIMpRNw,Knihkupectvo a kaviaren Artforum,,False,195,"Name: Bookstore Martinus
link: https://www.google.com/maps/search/Bookstore+Martinus/@49.225142,18.740143?authuser=0&hl=zh-TW&entry=ttu
Reviews: 526 reviews

Name: Panta Rhei Aupark Zilina - Knihkupectvo
link: https://www.google.com/maps/search/Panta+Rhei+Aupark+%C5%BDilina+-+Kn%C3%ADhkupectvo/@49.221156199999996,18.7402423?authuser=0&hl=zh-TW&entry=ttu
Reviews: 123 reviews

Name: Daryzivota.sk - Zilinske knihkupectvo
link: https://www.google.com/maps/search/Daryzivota.sk+-+%C5%BDilinsk%C3%A9+kn%C3%ADhkupectvo/@49.228528999999995,18.7333596?authuser=0&hl=zh-TW&entry=ttu
Reviews: 6 reviews

Name: Knihkupectvo Inform
link: https://www.google.com/maps/search/Kn%C3%ADhkupectvo+Inform/@49.2229897,18.7398033?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews

Name: Libri Ltd.
link: https://www.google.com/maps/search/Libri+Ltd./@49.2188546,18.7404397?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",https://www.artforum.sk/,Knihkupectvo a kaviaren Artforum (Ye Zhu ),https://www.google.com/maps/contrib/110730712380980044196,https://lh5.googleusercontent.com/p/AF1QipOjYDpLaZyiJdAUR4SsijJZ2QQS1pu0TpikGJaJ=w533-h240-k-no,Shu Dian ,"Shu Dian , Ka Pei Ting ",4.9,09:00-19:00,Xing Qi Ri ,+421 41/564 03 73,"Knihkupectvo a kaviaren Artforum, Marianske namestie 194/11, 010 01 Zilina, Si Luo Fa Ke ",Ka Pei ,https://www.google.com/maps/place/Kn%C3%ADhkupectvo+a+kaviare%C5%88+Artforum/data=!4m7!3m6!1s0x47145ea633452acd:0xdc44298308d5a595!8m2!3d49.2239304!4d18.7392941!16s%2Fg%2F1tfm5d5q!19sChIJzSpFM6ZeFEcRlaXVCIMpRNw?authuser=0&hl=zh-TW&rclk=1
