place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJA3e7K1e9oRQRV_Fi8qKhqz4,Mojo Club,,False,1896,"Name: LOT 51
link: https://www.google.com/maps/search/LOT+51/@37.9789373,23.756107000000004?authuser=0&hl=zh-TW&entry=ttu
Reviews: 4213 reviews

Name: My Hood
link: https://www.google.com/maps/search/My+Hood/@37.9894763,23.7586314?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2214 reviews

Name: Epoca Caffe
link: https://www.google.com/maps/search/Epoca+Caffe/@37.9817326,23.7650079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 180 reviews

Name: K*VOX bar
link: https://www.google.com/maps/search/K%2AVOX+bar/@37.9866683,23.7355995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: KABOS club Athens
link: https://www.google.com/maps/search/KABOS+club+Athens/@37.975883499999995,23.7525002?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",https://www.instagram.com/explore/locations/38094117/,Mojo Club (Ye Zhu ),https://www.google.com/maps/contrib/108206714667246133907,https://lh5.googleusercontent.com/p/AF1QipNW8Rd2VE34W_M5xCR_Bu-sPRxkEuznIosFcr7G=w408-h272-k-no,Ka Pei Dian ,Ka Pei Dian ,4.5,16:00-04:00,Open All Days,+30 21 0775 7033,"Mojo Club, Papadiamantopoulou 36, Athina 157 71Xi La ","Hua Yuan , Yin Le , Diao Jiu , atmosphere, Xia Tian , Wan Shang , Jia Ge , Pi Jiu , Huan Jing , Qing Jie ",https://www.google.com/maps/place/Mojo+Club/data=!4m7!3m6!1s0x14a1bd572bbb7703:0x3eaba1a2f262f157!8m2!3d37.979477!4d23.757292!16s%2Fg%2F1tfysjpv!19sChIJA3e7K1e9oRQRV_Fi8qKhqz4?authuser=0&hl=zh-TW&rclk=1
ChIJJ6wapuKXoRQRJQ477N4rblg,Dolce Cafe Bar,,False,1554,"Name: GOUSSIS BROS O.E.
link: https://www.google.com/maps/search/GOUSSIS+BROS+O.E./@37.9759774,23.7763846?authuser=0&hl=zh-TW&entry=ttu
Reviews: 837 reviews

Name: Ps cafe bar
link: https://www.google.com/maps/search/%CE%A8+cafe+bar/@37.982238599999995,23.7687083?authuser=0&hl=zh-TW&entry=ttu
Reviews: 551 reviews

Name: NOUVELLE all day cocktail bar
link: https://www.google.com/maps/search/NOUVELLE+all+day+cocktail+bar/@37.9765572,23.760891599999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 238 reviews

Name: Epoca Caffe
link: https://www.google.com/maps/search/Epoca+Caffe/@37.9817326,23.7650079?authuser=0&hl=zh-TW&entry=ttu
Reviews: 180 reviews",http://dolcecoffeebar.com/,Dolce Cafe Bar (Ye Zhu ),https://www.google.com/maps/contrib/115693295772082134213,https://lh5.googleusercontent.com/p/AF1QipNsuHyU_8LeRb6bdZpSZtEQJY8ajDZC0IwqsYTJ=w480-h240-k-no,Jiu Ba ,"Jiu Ba , Ji Wei Jiu Jiu Ba , Ka Pei Dian ",4.5,08:00-01:00,Open All Days,+30 21 0748 7683,"Dolce Cafe Bar, Grigoriou Afxentiou 58 - 60, Zografou 157 71Xi La ","Zhuang Shi , DJ, Jia Ge ",https://www.google.com/maps/place/Dolce+Cafe+Bar/data=!4m7!3m6!1s0x14a197e2a61aac27:0x586e2bdeec3b0e25!8m2!3d37.9754304!4d23.7634983!16s%2Fg%2F11b7p_lp96!19sChIJJ6wapuKXoRQRJQ477N4rblg?authuser=0&hl=zh-TW&rclk=1
ChIJ48FqJlu9oRQR88Xu8gphzaA,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,1111,"Name: Coffee Jar
link: https://www.google.com/maps/search/Coffee+Jar/@37.974214499999995,23.749576599999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews

Name: Majestic cafe
link: https://www.google.com/maps/search/Majestic+cafe/@37.9760286,23.7529625?authuser=0&hl=zh-TW&entry=ttu
Reviews: 47 reviews

Name: Coffee stars
link: https://www.google.com/maps/search/Coffee+stars/@37.986433999999996,23.7258115?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: Starbucks Offices
link: https://www.google.com/maps/search/Starbucks+Offices/@38.026278,23.811045699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.starbucks.com.gr/,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/113120985856114110836,https://lh5.googleusercontent.com/p/AF1QipNNZxnziCz91OLX8ZNozP3kDRhBC4pGFMjXEfaX=w413-h240-k-no,Ka Pei Dian ,"Ka Pei Dian , Ka Pei Ting ",4.1,08:00-21:30,Open All Days,+30 21 0721 1077,"Starbucks, Michalakopoulou 27, Athina 115 28Xi La ","Jia Ge , Nai , Yue Du , Zuo , Chou Yan , Bei Zi , Ka Pei Shi , Pin Zhi ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x14a1bd5b266ac1e3:0xa0cd610af2eec5f3!8m2!3d37.975783!4d23.7522252!16s%2Fg%2F11b63cwvdj!19sChIJ48FqJlu9oRQR88Xu8gphzaA?authuser=0&hl=zh-TW&rclk=1
ChIJ52zs0KqioRQRuUYKfvFmogw,Starbucks,"Yuan Yu Xi Ya Tu De Lian Suo Ka Pei Ting ,Yi Zhao Pai Hong Bei Dou , Qing Shi He Ti Gong  WiFi Er Wen Ming . ",False,988,"Name: Espressaki
link: https://www.google.com/maps/search/Espressaki/@37.983545899999996,23.7604267?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2032 reviews

Name: Black Coffee Box
link: https://www.google.com/maps/search/Black+Coffee+Box/@37.9853963,23.7614619?authuser=0&hl=zh-TW&entry=ttu
Reviews: 35 reviews

Name: COFFEE BOMB
link: https://www.google.com/maps/search/COFFEE+BOMB/@37.985558499999996,23.7617962?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Starbucks Offices
link: https://www.google.com/maps/search/Starbucks+Offices/@38.026278,23.811045699999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.starbucks.com.gr/,Starbucks (Ye Zhu ),https://www.google.com/maps/contrib/102837301566718716051,https://lh5.googleusercontent.com/p/AF1QipMgT_4n2P42C1UjnSDt1EamjeqY_P8bAbK2It0U=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.2,07:30-22:00,Open All Days,+30 21 0645 1563,"Starbucks, Theofanous 4, Athina 115 23Xi La ","Jia Ge , Pin Zhi , Cha Zuo , Bi Dian , Huan Jing , Da Xue ",https://www.google.com/maps/place/Starbucks/data=!4m7!3m6!1s0x14a1a2aad0ec6ce7:0xca266f17e0a46b9!8m2!3d37.9871376!4d23.7612696!16s%2Fg%2F11b7k0bg39!19sChIJ52zs0KqioRQRuUYKfvFmogw?authuser=0&hl=zh-TW&rclk=1
ChIJj5q8hEu9oRQRtmKoj-0yolk,KALDI Kaphekopteio (Coffee grinder's and shop),,False,619,"Name: Kaphekopteia Loumide
link: https://www.google.com/maps/search/%CE%9A%CE%B1%CF%86%CE%B5%CE%BA%CE%BF%CF%80%CF%84%CE%B5%CE%AF%CE%B1+%CE%9B%CE%BF%CF%85%CE%BC%CE%AF%CE%B4%CE%B7/@37.9836585,23.7294283?authuser=0&hl=zh-TW&entry=ttu
Reviews: 906 reviews

Name: Coffee Town
link: https://www.google.com/maps/search/Coffee+Town/@37.9885307,23.747435499999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 122 reviews

Name: COFFILOSOPHY ATHENS
link: https://www.google.com/maps/search/COFFILOSOPHY+ATHENS/@37.9868518,23.744061199999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 109 reviews

Name: COFFEE OWL
link: https://www.google.com/maps/search/COFFEE+OWL/@37.986049,23.7423379?authuser=0&hl=zh-TW&entry=ttu
Reviews: 25 reviews

Name: Mikel Coffee
link: https://www.google.com/maps/search/Mikel+Coffee/@37.981295599999996,23.7324458?authuser=0&hl=zh-TW&entry=ttu
Reviews: 10 reviews",https://www.facebook.com/kaldikafekoptio,KALDI Kaphekopteio (Coffee grinder's and shop) (Ye Zhu ),https://www.google.com/maps/contrib/116582295236052669739,https://lh5.googleusercontent.com/p/AF1QipNak57izo-jDQ9FSbAKtcBP70sQWsjBahFH85hK=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,07:00-21:00,"Xing Qi Yi , Xing Qi Er , Xing Qi Ri ",+30 21 5501 6950,"KALDI Kaphekopteio (Coffee grinder's and shop), Ippokratous 164, Athina 114 71Xi La ","atmosphere, Jia Ge , Bing Gan , Ka Pei Shi ",https://www.google.com/maps/place/KALDI+%CE%9A%CE%B1%CF%86%CE%B5%CE%BA%CE%BF%CF%80%CF%84%CE%B5%CE%AF%CE%BF+%28Coffee+grinder%27s+and+shop%29/data=!4m7!3m6!1s0x14a1bd4b84bc9a8f:0x59a232ed8fa862b6!8m2!3d37.9872617!4d23.7447571!16s%2Fg%2F11clztn7bh!19sChIJj5q8hEu9oRQRtmKoj-0yolk?authuser=0&hl=zh-TW&rclk=1
ChIJ2ak0blq9oRQRbnT1pz2PWqM,Everest Ilisia,,False,411,"Name: everest
link: https://www.google.com/maps/search/everest/@38.091317499999995,23.756059?authuser=0&hl=zh-TW&entry=ttu
Reviews: 633 reviews

Name: everest exclusive
link: https://www.google.com/maps/search/everest+exclusive/@38.0334801,23.7935961?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews",http://www.everest.gr/,Everest Ilisia (Ye Zhu ),https://www.google.com/maps/contrib/107999124582212684954,https://lh5.googleusercontent.com/p/AF1QipP6otIyq1kSXDbtBvqGWNcDuVCvBxJUEWkoBjsS=w408-h306-k-no,Wai Dai Ka Pei Zhuan Mai Dian ,"Wai Dai Ka Pei Zhuan Mai Dian , Ka Pei Dian , Kuai Can Dian ",3.9,06:00-22:00,Open All Days,+30 21 0722 2001,"Everest Ilisia, Michalakopoulou 52, Athina 115 28Xi La ",San Ming Zhi ,https://www.google.com/maps/place/Everest+%CE%99%CE%BB%CE%AF%CF%83%CE%B9%CE%B1/data=!4m7!3m6!1s0x14a1bd5a6e34a9d9:0xa35a8f3da7f5746e!8m2!3d37.9771975!4d23.7553197!16s%2Fg%2F11bwfm84vs!19sChIJ2ak0blq9oRQRbnT1pz2PWqM?authuser=0&hl=zh-TW&rclk=1
ChIJlaGdp2i9oRQRrOMhEe8f8MA,Coffee Lab Pagkrati,,False,339,"Name: Coffee Lab Kolonaki
link: https://www.google.com/maps/search/Coffee+Lab+%CE%9A%CE%BF%CE%BB%CF%89%CE%BD%CE%AC%CE%BA%CE%B9/@37.9812355,23.7374788?authuser=0&hl=zh-TW&entry=ttu
Reviews: 200 reviews

Name: Coffee Lab
link: https://www.google.com/maps/search/Coffee+Lab/@37.956803799999996,23.7274033?authuser=0&hl=zh-TW&entry=ttu
Reviews: 176 reviews

Name: Coffee Lab Panormou
link: https://www.google.com/maps/search/Coffee+Lab+%CE%A0%CE%B1%CE%BD%CF%8C%CF%81%CE%BC%CE%BF%CF%85/@37.9928465,23.762646399999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 164 reviews

Name: Coffee Lab Kaisariane
link: https://www.google.com/maps/search/Coffee+Lab+%CE%9A%CE%B1%CE%B9%CF%83%CE%B1%CF%81%CE%B9%CE%B1%CE%BD%CE%AE/@37.9690235,23.7558172?authuser=0&hl=zh-TW&entry=ttu
Reviews: 132 reviews",http://coffeelab.gr/,Coffee Lab Pagkrati (Ye Zhu ),https://www.google.com/maps/contrib/109762111636278665724,https://lh5.googleusercontent.com/p/AF1QipOpaTN39_Y-EY23bJ8VQ-i7GWo_OjAiSwRfcnep=w426-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.3,06:00-21:00,Open All Days,+30 21 0764 8978,"Coffee Lab Pagkrati, Chremonidou 57, Athina 116 33Xi La ",,https://www.google.com/maps/place/Coffee+Lab+%CE%A0%CE%B1%CE%B3%CE%BA%CF%81%CE%AC%CF%84%CE%B9/data=!4m7!3m6!1s0x14a1bd68a79da195:0xc0f01fef1121e3ac!8m2!3d37.9644759!4d23.7512392!16s%2Fg%2F11g9qj19vp!19sChIJlaGdp2i9oRQRrOMhEe8f8MA?authuser=0&hl=zh-TW&rclk=1
ChIJJecoBRG9oRQRJ6mTegIjJxs,Sherlock,,False,336,"Name: Architektonike
link: https://www.google.com/maps/search/Architektonik%E1%B8%97/@37.9779665,23.7622173?authuser=0&hl=zh-TW&entry=ttu
Reviews: 2050 reviews

Name: ZU
link: https://www.google.com/maps/search/ZU/@37.9754741,23.7641352?authuser=0&hl=zh-TW&entry=ttu
Reviews: 633 reviews

Name: Ps cafe bar
link: https://www.google.com/maps/search/%CE%A8+cafe+bar/@37.982238599999995,23.7687083?authuser=0&hl=zh-TW&entry=ttu
Reviews: 551 reviews

Name: KAPhE LOUKs
link: https://www.google.com/maps/search/%CE%9A%CE%91%CE%A6%CE%95+%CE%9B%CE%9F%CE%A5%CE%9E/@37.9768362,23.760155599999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 227 reviews

Name: Lucky Coffee Zografou
link: https://www.google.com/maps/search/Lucky+Coffee+Zografou/@37.9776595,23.762577099999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 14 reviews",https://www.facebook.com/Sherlock-cafe-barmore-359852791245028/,Sherlock (Ye Zhu ),https://www.google.com/maps/contrib/112406087750043695753,https://lh5.googleusercontent.com/p/AF1QipMJRyMaYYB5wHifrxyALkPqLEX1yYkVwrsTZUXM=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian ",4.6,08:00-02:30,Open All Days,+30 21 6900 3600,"Sherlock, Oulof Palme 29, Zografou 157 71Xi La ",,https://www.google.com/maps/place/Sherlock/data=!4m7!3m6!1s0x14a1bd110528e725:0x1b2723027a93a927!8m2!3d37.9785831!4d23.762571!16s%2Fg%2F11fhtljdfy!19sChIJJecoBRG9oRQRJ6mTegIjJxs?authuser=0&hl=zh-TW&rclk=1
ChIJBVvcIuCXoRQR2jpLji4k9ro,Gregory's coffee and snacks,,False,304,"Name: Coffee Island
link: https://www.google.com/maps/search/Coffee+Island/@37.9641464,23.7575374?authuser=0&hl=zh-TW&entry=ttu
Reviews: 313 reviews

Name: Alegio Coffee
link: https://www.google.com/maps/search/Alegio+Coffee/@37.9708422,23.755629?authuser=0&hl=zh-TW&entry=ttu
Reviews: 177 reviews

Name: Gregory's
link: https://www.google.com/maps/search/Gregory%27s/@37.963817299999995,23.6134713?authuser=0&hl=zh-TW&entry=ttu
Reviews: 126 reviews

Name: Student coffee
link: https://www.google.com/maps/search/Student+coffee/@37.967185,23.765390999999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 50 reviews

Name: Coffee Choice
link: https://www.google.com/maps/search/Coffee+Choice/@37.9685487,23.756807499999997?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",http://www.gregorys.gr/,Gregory's coffee and snacks (Ye Zhu ),https://www.google.com/maps/contrib/102821342052214173891,https://lh5.googleusercontent.com/p/AF1QipN4Y8Iz40LI_khcia0ilIoxJgfVKdrwM5v6Rcrb=w408-h306-k-no,Ka Pei Dian ,"Ka Pei Dian , Can Ting ",4.3,06:00-21:00,Open All Days,+30 21 3040 0400,"Gregory's coffee and snacks, Anakreontas & Ethnikes Antistaseos 127, Kesariani 161 22Xi La ",,https://www.google.com/maps/place/Gregory%27s+coffee+and+snacks/data=!4m7!3m6!1s0x14a197e022dc5b05:0xbaf6242e8e4b3ada!8m2!3d37.9674879!4d23.7639758!16s%2Fg%2F11bx2lszxt!19sChIJBVvcIuCXoRQR2jpLji4k9ro?authuser=0&hl=zh-TW&rclk=1
ChIJu884sPuXoRQRAhmLtk7kzts,HOOD Coffee & Drinks,,False,295,"Name: GOUSSIS BROS O.E.
link: https://www.google.com/maps/search/GOUSSIS+BROS+O.E./@37.9759774,23.7763846?authuser=0&hl=zh-TW&entry=ttu
Reviews: 837 reviews

Name: Anthropology
link: https://www.google.com/maps/search/Anthropology/@37.977061299999995,23.772229199999998?authuser=0&hl=zh-TW&entry=ttu
Reviews: 550 reviews

Name: Buongiorno cafe
link: https://www.google.com/maps/search/Buongiorno+caf%C3%A9/@37.978397199999996,23.7721964?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews

Name: THIRTYTWO coffee and more
link: https://www.google.com/maps/search/THIRTYTWO+coffee+and+more/@37.9789222,23.7657399?authuser=0&hl=zh-TW&entry=ttu
Reviews: 42 reviews",https://hoodcafebar.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,HOOD Coffee & Drinks (Ye Zhu ),https://www.google.com/maps/contrib/115317850660362333660,https://lh5.googleusercontent.com/p/AF1QipOf24cFE-SvCPaTPyDLDqYYtlI3Rm0iheuIWVM8=w649-h240-k-no,Ka Pei Dian ,Ka Pei Dian ,4.6,09:00-02:00,Open All Days,+30 21 0747 3022,"HOOD Coffee & Drinks, Leof. Stratarchou Alexandrou Papagou 101, Zografou 157 73Xi La ",atmosphere,https://www.google.com/maps/place/HOOD+Coffee+%26+Drinks/data=!4m7!3m6!1s0x14a197fbb038cfbb:0xdbcee44eb68b1902!8m2!3d37.9775884!4d23.7715826!16s%2Fg%2F11c461n2s6!19sChIJu884sPuXoRQRAhmLtk7kzts?authuser=0&hl=zh-TW&rclk=1
