place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJBcZ60TMkwUcRr_51xXuczCc,TotalEnergies,,False,1752,"Name: DATS 24
link: https://www.google.com/maps/search/DATS+24/@51.0160618,5.289975900000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 213 reviews

Name: T-Express
link: https://www.google.com/maps/search/T-Express/@51.0290287,5.261175199999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 72 reviews

Name: Gas station Frank
link: https://www.google.com/maps/search/Gas+station+Frank/@51.0334369,5.3304881?authuser=0&hl=zh-TW&entry=ttu
Reviews: 51 reviews

Name: Esso Heusden
link: https://www.google.com/maps/search/Esso+Heusden/@50.995576299999996,5.2358996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 27 reviews

Name: Total Charging Station
link: https://www.google.com/maps/search/Total+Charging+Station/@51.012907899999995,5.3331814?authuser=0&hl=zh-TW&entry=ttu
Reviews: 9 reviews",https://services.totalenergies.be/,TotalEnergies (Ye Zhu ),https://www.google.com/maps/contrib/108469964319468974677,https://lh5.googleusercontent.com/p/AF1QipNr4mZZrp6q-w0B5_T-dwc3I8bOjtQ0Vdv7dL5r=w426-h240-k-no,You Zhan ,"You Zhan , Ka Pei Dian , Can Ting , San Wen Zhi Dian ",4.2,24 Xiao Shi Ying Ye ,Open All Days,+32 11 82 19 06,"TotalEnergies, E314, 3550 Heusden-Zolder, Bi Li Shi ","Ce Suo , Yuan Gong , Ting Che , Lin Yu Jian , Gao Su Gong Lu , Huo Che , You Le Chang , Fu Wu Qu ",https://www.google.com/maps/place/TotalEnergies/data=!4m7!3m6!1s0x47c12433d17ac605:0x27cc9c7bc575feaf!8m2!3d51.0127!4d5.3318!16s%2Fg%2F11f311nggj!19sChIJBcZ60TMkwUcRr_51xXuczCc?authuser=0&hl=zh-TW&rclk=1
ChIJ6QYX-zElwUcRenlDAP2OLig,Kaffies,,False,328,"Name: Koffiehuis Lieve
link: https://www.google.com/maps/search/Koffiehuis+Lieve/@50.9823404,5.3531607999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 121 reviews

Name: Fietscafe Ons Huis
link: https://www.google.com/maps/search/Fietscaf%C3%A9+Ons+Huis/@51.044472299999995,5.3135807?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews

Name: Cafe De Markt
link: https://www.google.com/maps/search/Cafe+De+Markt/@51.0375677,5.3293754?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Campus Coffee Lounge
link: https://www.google.com/maps/search/Campus+Coffee+Lounge/@51.031309799999995,5.232257499999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews",http://www.kaffies.be/,Kaffies (Ye Zhu ),https://www.google.com/maps/contrib/102110290446904326492,https://lh5.googleusercontent.com/p/AF1QipNQSkCtPzqSmr6rmkcJ-rbtWXKYv22gqtmrS3qu=w408-h306-k-no,Ka Pei Dian ,Ka Pei Dian ,4.4,09:00-17:00,"Xing Qi Ri , Xing Qi Yi , Xing Qi Er ",+32 11 96 31 20,"Kaffies, Beringersteenweg 49, 3550 Heusden-Zolder, Bi Li Shi ","Zao Can , Gao , Jia Ge ",https://www.google.com/maps/place/Kaffies/data=!4m7!3m6!1s0x47c12531fb1706e9:0x282e8efd0043797a!8m2!3d51.0304947!4d5.2572775!16s%2Fg%2F1vyxhklr!19sChIJ6QYX-zElwUcRenlDAP2OLig?authuser=0&hl=zh-TW&rclk=1
ChIJ0_cOQu8lwUcRW5yGvWsWlUg,MADO Heusden,,False,326,"Name: Mint Resto
link: https://www.google.com/maps/search/Mint+Resto/@51.026894899999995,5.265977599999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 486 reviews

Name: Kaffies
link: https://www.google.com/maps/search/Kaffies/@51.0304947,5.2572775?authuser=0&hl=zh-TW&entry=ttu
Reviews: 328 reviews

Name: Restaurant Lavandi
link: https://www.google.com/maps/search/Restaurant+Lavandi/@51.0397292,5.3274973999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 214 reviews

Name: Emirdag Koftecisi
link: https://www.google.com/maps/search/Emirda%C4%9F+K%C3%B6ftecisi/@51.0399223,5.3019267999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 201 reviews

Name: Dolce Gelato
link: https://www.google.com/maps/search/Dolce+Gelato/@51.028382,5.270989000000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 84 reviews",https://www.madobelgium.be/,MADO Heusden (Ye Zhu ),https://www.google.com/maps/contrib/110370231751084632029,https://lh5.googleusercontent.com/p/AF1QipMJiEg-ei3paS_xfXwzIs8ovtw2Zvd9Le_1nDE9=w426-h240-k-no,Jia Ting Can Ting ,"Jia Ting Can Ting , Mian Bao Xi Bing Dian , Ka Pei Dian , Tian Pin Can Ting , Mei Shi Can Che Dian , Xue Gao Dian , Jiu Ba Ya Zuo , Fa Shi Can Ting ",3.8,09:00-22:00,Xing Qi Er ,+32 11 18 51 83,"MADO Heusden, Sint-Willibrordusplein 24, 3550 Heusden-Zolder, Bi Li Shi ","Yuan Gong , Zao Can , Xia Ding , Ping Lun , Bing Qi Lin , Jiao Huai , Qian ",https://www.google.com/maps/place/MADO+Heusden/data=!4m7!3m6!1s0x47c125ef420ef7d3:0x4895166bbd869c5b!8m2!3d51.0332075!4d5.281009!16s%2Fg%2F11tnbstx7l!19sChIJ0_cOQu8lwUcRW5yGvWsWlUg?authuser=0&hl=zh-TW&rclk=1
ChIJE-Mg49clwUcRp7lxIfjI1XQ,Vini's - Caffe e Aperitivo,,False,320,"Name: Fratelli
link: https://www.google.com/maps/search/Fratelli/@51.0246572,5.3756996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 580 reviews

Name: Trobbiani's Place Houthalen
link: https://www.google.com/maps/search/Trobbiani%27s+Place+Houthalen/@51.0307167,5.3730915?authuser=0&hl=zh-TW&entry=ttu
Reviews: 296 reviews

Name: La Cantina
link: https://www.google.com/maps/search/La+Cantina/@51.034188799999995,5.3858279?authuser=0&hl=zh-TW&entry=ttu
Reviews: 164 reviews

Name: Caffe e Gusto
link: https://www.google.com/maps/search/Caff%C3%A8+e+Gusto/@51.0319473,5.3731871?authuser=0&hl=zh-TW&entry=ttu
Reviews: 97 reviews

Name: Tivitti - Caffe | Gelato | Aperitivo
link: https://www.google.com/maps/search/Tivitti+-+Caffe+%7C+Gelato+%7C+Aperitivo/@51.023166499999995,5.4638554?authuser=0&hl=zh-TW&entry=ttu
Reviews: 40 reviews",https://www.facebook.com/people/Vinis-Caff%25C3%25A8-e-Aperitivo/100063789871189/,Vini's - Caffe e Aperitivo (Ye Zhu ),https://www.google.com/maps/contrib/116947906339057033883,https://lh5.googleusercontent.com/p/AF1QipMB3Z2xqFu24WfgOiK3VZvIscWI5-IXo8Hb-aYc=w408-h639-k-no,Ka Pei Ting ,"Ka Pei Ting , Ka Pei Dian , San Wen Zhi Dian ",4.4,08:00-00:00,Xing Qi San ,+32 484 07 56 02,"Vini's - Caffe e Aperitivo, Stationsstraat 120, 3530 Houthalen-Helchteren, Bi Li Shi ",Xiao Chi ,https://www.google.com/maps/place/Vini%E2%80%99s+-+Caff%C3%A8+e+Aperitivo/data=!4m7!3m6!1s0x47c125d7e320e313:0x74d5c8f82171b9a7!8m2!3d51.025491!4d5.3524169!16s%2Fg%2F11bx4bnt2r!19sChIJE-Mg49clwUcRp7lxIfjI1XQ?authuser=0&hl=zh-TW&rclk=1
ChIJ0e5f8DcjwUcR6ZTV0DMuG6E,Het Krom Ven,,False,234,"Name: De Stroobander
link: https://www.google.com/maps/search/De+Stroobander/@50.949613199999995,5.273014600000001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1181 reviews

Name: 't Kremmeke
link: https://www.google.com/maps/search/%27t+Kremmeke/@50.917525999999995,5.2408331?authuser=0&hl=zh-TW&entry=ttu
Reviews: 566 reviews

Name: De Stokerij
link: https://www.google.com/maps/search/De+Stokerij/@50.939112599999994,5.273739099999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 162 reviews

Name: Cafe B-52
link: https://www.google.com/maps/search/Caf%C3%A9+B-52/@50.973632599999995,5.2817918?authuser=0&hl=zh-TW&entry=ttu
Reviews: 79 reviews",https://hetkromven.metro.rest/,Het Krom Ven (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipP3oDDyDEHgwxLZHEfV7pkZPTGwTaI6DCGOMNeF=w408-h306-k-no,Ka Pei Ting ,"Ka Pei Ting , Bi Li Shi Can Ting , Fa Guo Can Ting , Wu Fu Zhi Shi Pin Can Ting , Xue Gao Dian , Yi Da Li Can Ting , Ban Ji Dian , Gao Bing Dian , Su Shi Can Ting ",4.4,10:30-22:00,"Xing Qi Ri , Xing Qi Liu ",+32 496 26 28 26,"Het Krom Ven, Schotelstraat 13, 3511 Hasselt, Bi Li Shi ","Jia Ge , Pin Zhi , Hua Yuan , Fa Shi Can Ting ",https://www.google.com/maps/place/Het+Krom+Ven/data=!4m7!3m6!1s0x47c12337f05feed1:0xa11b2e33d0d594e9!8m2!3d50.9725337!4d5.27928!16s%2Fg%2F1tf_s089!19sChIJ0e5f8DcjwUcR6ZTV0DMuG6E?authuser=0&hl=zh-TW&rclk=1
ChIJ3zR6TBwlwUcRzBn4d1Jg1J4,De Blokhut,,False,185,"Name: De Kring
link: https://www.google.com/maps/search/De+Kring/@51.032024,5.2797601?authuser=0&hl=zh-TW&entry=ttu
Reviews: 264 reviews

Name: Jh Distel
link: https://www.google.com/maps/search/Jh+Distel/@51.031849,5.2800072?authuser=0&hl=zh-TW&entry=ttu
Reviews: 77 reviews

Name: 't Vijvershof
link: https://www.google.com/maps/search/%27t+Vijvershof/@51.0266282,5.3253217?authuser=0&hl=zh-TW&entry=ttu
Reviews: 42 reviews

Name: Dorpstuintjes H-Z
link: https://www.google.com/maps/search/Dorpstuintjes+H-Z/@51.028302700000005,5.2851842?authuser=0&hl=zh-TW&entry=ttu
Reviews: 3 reviews",http://www.meylandtvissers.be/,De Blokhut (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipPHry1_OniiipX-B-NiWrc-cjUp1uY6xg69t_NX=w408-h306-k-no,Ka Pei Ting ,Ka Pei Ting ,4.3,13:00-22:00,Xing Qi Si ,,"De Blokhut, Meylandtlaan, 3550 Heusden-Zolder, Bi Li Shi ","Chi Tang , Jia Ge , Jian Xing , Jiao Ta Che ",https://www.google.com/maps/place/De+Blokhut/data=!4m7!3m6!1s0x47c1251c4c7a34df:0x9ed4605277f819cc!8m2!3d51.0212405!4d5.2826018!16s%2Fg%2F11c1qy3pr1!19sChIJ3zR6TBwlwUcRzBn4d1Jg1J4?authuser=0&hl=zh-TW&rclk=1
ChIJU3uLpdYlwUcR-vrEQppEt-I,'t Forum,,False,167,"Name: 't Kuipke
link: https://www.google.com/maps/search/%27t+Kuipke/@51.0232616,5.3146908?authuser=0&hl=zh-TW&entry=ttu
Reviews: 238 reviews

Name: Lobbylounge
link: https://www.google.com/maps/search/Lobbylounge/@51.038399399999996,5.2955182?authuser=0&hl=zh-TW&entry=ttu
Reviews: 143 reviews

Name: Fietscafe Ons Huis
link: https://www.google.com/maps/search/Fietscaf%C3%A9+Ons+Huis/@51.044472299999995,5.3135807?authuser=0&hl=zh-TW&entry=ttu
Reviews: 62 reviews

Name: Forum Jobs Heusden-Zolder
link: https://www.google.com/maps/search/Forum+Jobs+Heusden-Zolder/@51.038733199999996,5.33033?authuser=0&hl=zh-TW&entry=ttu
Reviews: 7 reviews

Name: david der bars
link: https://www.google.com/maps/search/david+der+bars/@51.0365795,5.340565799999999?authuser=0&hl=zh-TW&entry=ttu
Reviews: 0 reviews",http://www.tforum.cafe/,'t Forum (Ye Zhu ),https://www.google.com/maps/contrib/117097803954131284282,https://lh5.googleusercontent.com/p/AF1QipOBORL6gyo0kK9Lt9dtVNnD69RKU2sGdQKH8KBq=w408-h725-k-no,Ka Pei Ting ,Ka Pei Ting ,4.7,16:00-00:00,"Xing Qi Ri , Xing Qi Yi ",+32 478 45 73 10,"'t Forum, Koolmijnlaan 442, 3550 Heusden-Zolder, Bi Li Shi ","Pi Jiu , Zhi Shi ",https://www.google.com/maps/place/%E2%80%98t+Forum/data=!4m7!3m6!1s0x47c125d6a58b7b53:0xe2b7449a42c4fafa!8m2!3d51.0356941!4d5.3389189!16s%2Fg%2F11hyh574x6!19sChIJU3uLpdYlwUcR-vrEQppEt-I?authuser=0&hl=zh-TW&rclk=1
ChIJpWmuzh8kwUcRzR3o7UAq_Tk,Cafe 't Zant,,False,122,"Name: Sjiek
link: https://www.google.com/maps/search/Sjiek/@50.991245799999994,5.3684477?authuser=0&hl=zh-TW&entry=ttu
Reviews: 244 reviews

Name: The Pub
link: https://www.google.com/maps/search/The+Pub/@50.989812799999996,5.3672036?authuser=0&hl=zh-TW&entry=ttu
Reviews: 160 reviews

Name: Deckers
link: https://www.google.com/maps/search/Deckers/@50.9986379,5.3666792999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews

Name: Brouwerij De Dikketet
link: https://www.google.com/maps/search/Brouwerij+De+Dikketet/@50.993103999999995,5.3677597?authuser=0&hl=zh-TW&entry=ttu
Reviews: 5 reviews

Name: Ten Eykenen
link: https://www.google.com/maps/search/Ten+Eykenen/@51.0039648,5.3625837999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 1 reviews",https://www.facebook.com/zantzonhoven/,Cafe 't Zant (Ye Zhu ),,https://lh5.googleusercontent.com/p/AF1QipOvkuiw0c4Jl_JFGZf6UMxflTAvjY0HOwwKcNoI=w408-h500-k-no,Ka Pei Ting ,Ka Pei Ting ,4.6,17:00-00:00,"Xing Qi Ri , Xing Qi Liu ",+32 11 81 53 87,"Cafe 't Zant, Halveweg 28, 3520 Zonhoven, Bi Li Shi ","Pi Jiu , Jia Ge , Niu Pai , Shu Tiao ",https://www.google.com/maps/place/Cafe+%27t+Zant/data=!4m7!3m6!1s0x47c1241fceae69a5:0x39fd2a40ede81dcd!8m2!3d50.9924259!4d5.3443981!16s%2Fg%2F1tjv2nkf!19sChIJpWmuzh8kwUcRzR3o7UAq_Tk?authuser=0&hl=zh-TW&rclk=1
ChIJD3B8fiQlwUcRHaHtMAd-vKA,Boetiek Domani,,False,112,"Name: Sposa heusden
link: https://www.google.com/maps/search/Sposa+heusden/@51.0399311,5.3023421?authuser=0&hl=zh-TW&entry=ttu
Reviews: 41 reviews

Name: Tre Donne
link: https://www.google.com/maps/search/Tre+Donne/@51.0164246,5.2893001?authuser=0&hl=zh-TW&entry=ttu
Reviews: 21 reviews

Name: Podium Trouwpakken en trouwjurken
link: https://www.google.com/maps/search/Podium+Trouwpakken+en+trouwjurken/@51.0404294,5.3013506999999995?authuser=0&hl=zh-TW&entry=ttu
Reviews: 17 reviews

Name: Exclusive
link: https://www.google.com/maps/search/Exclusive/@51.030143800000005,5.2752766?authuser=0&hl=zh-TW&entry=ttu
Reviews: 15 reviews

Name: N'joy fashion
link: https://www.google.com/maps/search/N%27joy+fashion/@51.0372201,5.330698?authuser=0&hl=zh-TW&entry=ttu
Reviews: 8 reviews",http://www.boetiekdomani.be/,Boetiek Domani (Ye Zhu ),https://www.google.com/maps/contrib/111706921747494513600,https://lh5.googleusercontent.com/p/AF1QipMIGOA2xqG9ZFX1GZGn0RDOoQYpzW8hPbHSfZxT=w408-h272-k-no,Fu Zhuang Dian ,"Fu Zhuang Dian , Ka Pei Dian , Li Pin Dian , Pu Tao Jiu Ba , Jiu Pin Zhuan Mai Dian ",4.7,09:30-18:00,Xing Qi Ri ,+32 11 45 30 20,"Boetiek Domani, G. Gezellelaan 172, 3550 Heusden-Zolder, Bi Li Shi ","Hong Jiu , Ka Pei ",https://www.google.com/maps/place/Boetiek+Domani/data=!4m7!3m6!1s0x47c125247e7c700f:0xa0bc7e0730eda11d!8m2!3d51.0269031!4d5.2682915!16s%2Fg%2F1tdltf7s!19sChIJD3B8fiQlwUcRHaHtMAd-vKA?authuser=0&hl=zh-TW&rclk=1
ChIJ7ReSzMYnwUcRtoe0ll53FBQ,Caffe e Gusto,,False,98,"Name: Fratelli
link: https://www.google.com/maps/search/Fratelli/@51.0246572,5.3756996?authuser=0&hl=zh-TW&entry=ttu
Reviews: 580 reviews

Name: Grand Cafe De Volksmacht
link: https://www.google.com/maps/search/Grand+Caf%C3%A9+De+Volksmacht/@51.0315557,5.3711933?authuser=0&hl=zh-TW&entry=ttu
Reviews: 397 reviews

Name: Vini's - Caffe e Aperitivo
link: https://www.google.com/maps/search/Vini%E2%80%99s+-+Caff%C3%A8+e+Aperitivo/@51.025490999999995,5.3524169?authuser=0&hl=zh-TW&entry=ttu
Reviews: 320 reviews

Name: Nostro Sapore
link: https://www.google.com/maps/search/Nostro+Sapore/@51.0300916,5.3722093?authuser=0&hl=zh-TW&entry=ttu
Reviews: 34 reviews",https://www.caffe-gusto.com/,Caffe e Gusto (Ye Zhu ),https://www.google.com/maps/contrib/117418482205007743940,https://lh5.googleusercontent.com/p/AF1QipPrNqxp8lR7O0KSW3sajAt7f5QHNQAaU4-JUkz4=w493-h240-k-no,Ka Pei Ting ,"Ka Pei Ting , Shou Shi Dian , Yi Da Li Can Ting , Fa Shi Can Ting ",4.5,08:00-20:00,"Xing Qi Ri , Xing Qi Si ",+32 478 15 28 16,"Caffe e Gusto, Vredelaan 23, 3530 Houthalen-Helchteren, Bi Li Shi ","Yuan Gong , Yi Da Li ",https://www.google.com/maps/place/Caff%C3%A8+e+Gusto/data=!4m7!3m6!1s0x47c127c6cc9217ed:0x1414775e96b487b6!8m2!3d51.0319473!4d5.3731871!16s%2Fg%2F11h_3r88fv!19sChIJ7ReSzMYnwUcRtoe0ll53FBQ?authuser=0&hl=zh-TW&rclk=1
